 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
331 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
332 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
333 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
334 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
335 Result (1->win; 0->lose):0, Score:-2.0, timesteps:139
336 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
337 Result (1->win; 0->lose):0, Score:-2.0, timesteps:113
338 Result (1->win; 0->lose):0, Score:-2.0, timesteps:191
339 Result (1->win; 0->lose):0, Score:-2.0, timesteps:144
340 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
341 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
342 Result (1->win; 0->lose):0, Score:-2.0, timesteps:54
343 Result (1->win; 0->lose):0, Score:-2.0, timesteps:25
344 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
345 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
346 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
347 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
348 Result (1->win; 0->lose):0, Score:-2.0, timesteps:60
349 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
350 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
351 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
352 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
353 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
354 Result (1->win; 0->lose):0, Score:-2.0, timesteps:128
355 Result (1->win; 0->lose):0, Score:-2.0, timesteps:17
356 Result (1->win; 0->lose):0, Score:-2.0, timesteps:55
357 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
358 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
359 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
360 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
361 Result (1->win; 0->lose):0, Score:-2.0, timesteps:26
362 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
363 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
364 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
365 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
366 Result (1->win; 0->lose):0, Score:-2.0, timesteps:21
367 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
368 Result (1->win; 0->lose):0, Score:-2.0, timesteps:18
369 Result (1->win; 0->lose):0, Score:-2.0, timesteps:128
370 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
371 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
372 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
373 Result (1->win; 0->lose):0, Score:-2.0, timesteps:185
374 Result (1->win; 0->lose):0, Score:-2.0, timesteps:71
375 Result (1->win; 0->lose):0, Score:-2.0, timesteps:37
376 Result (1->win; 0->lose):0, Score:-2.0, timesteps:21
377 Result (1->win; 0->lose):0, Score:-2.0, timesteps:38
378 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
379 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
380 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
381 Result (1->win; 0->lose):0, Score:-2.0, timesteps:94
382 Result (1->win; 0->lose):0, Score:-2.0, timesteps:156
383 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
384 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
385 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
386 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
387 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
388 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
389 Result (1->win; 0->lose):0, Score:-2.0, timesteps:63
390 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
391 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
392 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
393 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
394 Result (1->win; 0->lose):0, Score:-2.0, timesteps:32
395 Result (1->win; 0->lose):0, Score:-2.0, timesteps:73
396 Result (1->win; 0->lose):0, Score:-2.0, timesteps:33
397 Result (1->win; 0->lose):0, Score:-2.0, timesteps:114
398 Result (1->win; 0->lose):0, Score:-2.0, timesteps:95
399 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
400 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
401 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
402 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
403 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
404 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
405 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
406 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
407 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
408 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
409 Result (1->win; 0->lose):0, Score:-2.0, timesteps:83
410 Result (1->win; 0->lose):0, Score:-2.0, timesteps:197
411 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
412 Result (1->win; 0->lose):0, Score:-2.0, timesteps:168
413 Result (1->win; 0->lose):0, Score:-2.0, timesteps:39
414 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
415 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
