 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
312 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
313 Result (1->win; 0->lose):0, Score:3.0, timesteps:515
314 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
315 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
316 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
317 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
318 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
319 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
320 Result (1->win; 0->lose):0, Score:1.0, timesteps:595
321 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
322 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
323 Result (1->win; 0->lose):0, Score:-1.0, timesteps:167
324 Result (1->win; 0->lose):0, Score:1.0, timesteps:343
325 Result (1->win; 0->lose):0, Score:3.0, timesteps:271
326 Result (1->win; 0->lose):0, Score:1.0, timesteps:451
327 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
328 Result (1->win; 0->lose):0, Score:1.0, timesteps:579
329 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
330 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
331 Result (1->win; 0->lose):0, Score:1.0, timesteps:563
332 Result (1->win; 0->lose):0, Score:1.0, timesteps:339
333 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
334 Result (1->win; 0->lose):0, Score:1.0, timesteps:779
335 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
336 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
337 Result (1->win; 0->lose):0, Score:1.0, timesteps:451
338 Result (1->win; 0->lose):0, Score:1.0, timesteps:103
339 Result (1->win; 0->lose):0, Score:1.0, timesteps:427
340 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
341 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
342 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
343 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
344 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
345 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
346 Result (1->win; 0->lose):0, Score:3.0, timesteps:983
347 Result (1->win; 0->lose):0, Score:1.0, timesteps:571
348 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
349 Result (1->win; 0->lose):0, Score:1.0, timesteps:687
350 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
351 Result (1->win; 0->lose):0, Score:1.0, timesteps:159
352 Result (1->win; 0->lose):0, Score:1.0, timesteps:543
353 Result (1->win; 0->lose):0, Score:3.0, timesteps:567
354 Result (1->win; 0->lose):0, Score:-1.0, timesteps:135
355 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
356 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
357 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
358 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
359 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
360 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
361 Result (1->win; 0->lose):0, Score:-1.0, timesteps:68
362 Result (1->win; 0->lose):0, Score:-1.0, timesteps:91
363 Result (1->win; 0->lose):0, Score:3.0, timesteps:935
364 Result (1->win; 0->lose):0, Score:-1.0, timesteps:163
365 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
366 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
367 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
368 Result (1->win; 0->lose):0, Score:1.0, timesteps:375
369 Result (1->win; 0->lose):0, Score:1.0, timesteps:587
370 Result (1->win; 0->lose):0, Score:3.0, timesteps:779
371 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
372 Result (1->win; 0->lose):0, Score:1.0, timesteps:447
373 Result (1->win; 0->lose):0, Score:-1.0, timesteps:91
374 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
375 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
376 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
377 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
378 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
