 ** Playing game examples/gridphysics/missilecommand.txt, level examples/gridphysics/missilecommand_lvl0.txt **
357 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
358 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
359 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
360 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
361 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
362 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
363 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
364 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
365 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
366 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
367 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
368 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
369 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
370 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
371 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
372 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
373 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
374 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
375 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
376 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
377 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
378 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
379 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
380 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
381 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
382 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
383 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
384 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
385 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
386 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
387 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
388 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
389 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
390 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
391 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
392 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
393 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
394 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
395 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
396 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
397 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
398 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
399 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
400 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
401 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
402 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
403 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
404 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
405 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
