 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
310 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
311 Result (1->win; 0->lose):0, Score:-2.0, timesteps:81
312 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
313 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
314 Result (1->win; 0->lose):0, Score:-2.0, timesteps:59
315 Result (1->win; 0->lose):0, Score:-2.0, timesteps:132
316 Result (1->win; 0->lose):0, Score:-2.0, timesteps:53
317 Result (1->win; 0->lose):0, Score:-2.0, timesteps:54
318 Result (1->win; 0->lose):0, Score:-2.0, timesteps:198
319 Result (1->win; 0->lose):0, Score:-2.0, timesteps:104
320 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
321 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
322 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
323 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
324 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
325 Result (1->win; 0->lose):0, Score:-2.0, timesteps:65
326 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
327 Result (1->win; 0->lose):0, Score:-2.0, timesteps:71
328 Result (1->win; 0->lose):0, Score:-2.0, timesteps:111
329 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
330 Result (1->win; 0->lose):0, Score:-2.0, timesteps:27
331 Result (1->win; 0->lose):0, Score:-2.0, timesteps:20
332 Result (1->win; 0->lose):0, Score:-2.0, timesteps:58
333 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
334 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
335 Result (1->win; 0->lose):0, Score:-2.0, timesteps:127
336 Result (1->win; 0->lose):0, Score:-2.0, timesteps:23
337 Result (1->win; 0->lose):0, Score:-2.0, timesteps:99
338 Result (1->win; 0->lose):0, Score:-2.0, timesteps:17
339 Result (1->win; 0->lose):0, Score:-2.0, timesteps:87
340 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
341 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
342 Result (1->win; 0->lose):0, Score:-2.0, timesteps:85
343 Result (1->win; 0->lose):0, Score:-2.0, timesteps:108
344 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
345 Result (1->win; 0->lose):0, Score:-2.0, timesteps:21
346 Result (1->win; 0->lose):0, Score:-2.0, timesteps:51
347 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
348 Result (1->win; 0->lose):0, Score:-2.0, timesteps:52
349 Result (1->win; 0->lose):0, Score:-2.0, timesteps:79
350 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
351 Result (1->win; 0->lose):0, Score:-2.0, timesteps:84
352 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
353 Result (1->win; 0->lose):0, Score:-2.0, timesteps:47
354 Result (1->win; 0->lose):0, Score:-2.0, timesteps:71
355 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
356 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
357 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
358 Result (1->win; 0->lose):0, Score:-2.0, timesteps:126
359 Result (1->win; 0->lose):0, Score:-2.0, timesteps:105
360 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
361 Result (1->win; 0->lose):0, Score:-2.0, timesteps:60
362 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
