 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
236 Result (1->win; 0->lose):0, Score:-2.0, timesteps:28
237 Result (1->win; 0->lose):0, Score:0.0, timesteps:18
238 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
239 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
240 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
241 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
242 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
243 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
244 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
245 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
246 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
247 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
248 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
249 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
250 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
251 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
252 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
253 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
254 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
255 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
256 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
257 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
258 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
259 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
260 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
261 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
262 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
263 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
264 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
265 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
266 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
267 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
268 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
269 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
270 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
271 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
272 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
273 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
274 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
275 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
276 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
277 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
278 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
279 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
280 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
281 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
282 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
283 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
284 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
285 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
286 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
287 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
288 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
289 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
290 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
291 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
292 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
293 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
294 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
295 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
296 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
297 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
298 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
299 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
300 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
301 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
